unix,Date,symbol,Open,High,Low,Close,Volume BTC,Volume,tradecount
1658271600,2022.07.19 23:00,BTC/USDT,23498.35000000,236300000000,23227.85000000,23396.62000000,6426.75301000,150420259.55694860,188820
1658268000,2022.07.19 22:00,BTC/USDT,23650.26000000,23659.15000000,23334.76000000,23501.76000000,5315.26048000,124848420.55269250,169712
1658264400,2022.07.19 21:00,BTC/USDT,23303.93000000,238000000000,23253.38000000,23650.26000000,69955476000,164557084.81995620,196785
1658260800,2022.07.19 20:00,BTC/USDT,23399.88000000,23443.57000000,23147.14000000,23300.14000000,7519.21665000,175020768.92446540,193515
1658257200,2022.07.19 19:00,BTC/USDT,23410.55000000,23706.26000000,23346.43000000,23401.99000000,9879.81782000,232464952.43206230,245953
1658253600,2022.07.19 18:00,BTC/USDT,234608000000,23525.96000000,23221.48000000,23410.55000000,10007.44257000,234109571.95667500,238501
1658250000,2022.07.19 17:00,BTC/USDT,23236.66000000,235290000000,23072.22000000,234608000000,11702.10720000,272247593.46236530,269603
1658246400,2022.07.19 16:00,BTC/USDT,23128.31000000,23441.38000000,22950.21000000,23234.23000000,22425.39036000,520753416.52460640,444781
1658242800,2022.07.19 15:00,BTC/USDT,22626.18000000,23199.90000000,224615000000,231368000000,29208.75727000,667235788.62900640,576710
1658239200,2022.07.19 14:00,BTC/USDT,22317.63000000,22640.12000000,22101.40000000,22626.42000000,11572.98005000,258389985.51461890,305565
1658235600,2022.07.19 13:00,BTC/USDT,22175.50000000,22440.67000000,22041.45000000,22320.63000000,13736.46489000,305499532.93059590,317526
1658232000,2022.07.19 12:00,BTC/USDT,21977.19000000,221994000000,21971.84000000,22175.50000000,8630.14173000,190518273.96144910,229643
1658228400,2022.07.19 11:00,BTC/USDT,220021000000,222300000000,219090000000,21974.49000000,8777.75558000,193876855.82859220,230422
1658224800,2022.07.19 10:00,BTC/USDT,21903.36000000,22113.23000000,218100000000,22004.92000000,7566.72584000,166114784.59857540,208036
1658221200,2022.07.19 9:00,BTC/USDT,219228000000,21969.80000000,21805.67000000,21905.75000000,5463.73464000,119661030.28606090,174972
1658217600,2022.07.19 8:00,BTC/USDT,21764.88000000,219374000000,21696.60000000,219228000000,70881621000,154729846.73290430,200995
